epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7456,1.66917,4.94944,1.36121,0.00316,0.94915,0.00553,0.00322,1.22613,4.23597,0.92994,0.00016,0.00016,0.00016
2,116.834,1.13753,2.47559,0.97137,0.00316,0.94915,0.00756,0.00459,1.01294,3.94821,0.86915,0.000326536,0.000326536,0.000326536
3,169.128,1.13735,1.88845,0.93826,0.00316,0.94915,0.00759,0.00487,1.03973,3.88393,0.88411,0.000478816,0.000478816,0.000478816
4,222.482,1.11496,1.6796,0.91894,0.00316,0.94915,0.00715,0.00414,0.99505,3.95346,0.88826,0.00061684,0.00061684,0.00061684
5,276.4,1.05712,1.54651,0.93835,0.00271,0.81356,0.00339,0.00196,0.97499,3.91821,0.91269,0.000740608,0.000740608,0.000740608
6,328.066,1.07608,1.45058,0.9942,0.00311,0.9322,0.08006,0.05911,1.07709,3.53264,0.9339,0.00085012,0.00085012,0.00085012
7,379.66,1.02891,1.35078,0.92979,0.00316,0.94915,0.09338,0.056,0.9888,3.52647,0.88974,0.000945376,0.000945376,0.000945376
8,431.599,0.9877,1.33329,0.92337,1,0.55717,0.94397,0.69332,0.96811,2.86847,0.90923,0.00102638,0.00102638,0.00102638
9,483.653,0.99041,1.23247,0.92447,1,0.27018,0.96481,0.71074,1.00527,2.63258,0.91503,0.00109312,0.00109312,0.00109312
10,535.869,0.98349,1.16117,0.93641,1,0.94768,0.96493,0.71268,0.97787,1.91006,0.91285,0.00114561,0.00114561,0.00114561
11,587.556,1.03643,1.18799,0.95216,0.98738,0.94915,0.99275,0.67796,1.0704,1.9383,0.92372,0.00118384,0.00118384,0.00118384
12,639.169,1.03578,1.15008,0.89443,0.99353,1,0.995,0.72357,0.97109,1.42362,0.89395,0.0011288,0.0011288,0.0011288
13,692.784,1.04789,1.16289,0.9458,0.99271,1,0.995,0.68002,1.03907,1.39733,0.90592,0.0010496,0.0010496,0.0010496
14,743.685,1.00804,1.07657,0.90551,0.93637,0.99779,0.98154,0.71671,0.92652,1.30753,0.89601,0.0009704,0.0009704,0.0009704
15,794.177,0.94041,1.00639,0.9324,0.99116,1,0.995,0.74463,0.92454,1.27782,0.8874,0.0008912,0.0008912,0.0008912
16,844.465,0.94587,1.24106,0.93333,0.99176,1,0.995,0.71321,0.93533,1.31056,0.88616,0.000812,0.000812,0.000812
17,895.12,0.95944,1.29318,0.95866,0.99657,1,0.995,0.73838,0.92838,1.18667,0.88307,0.0007328,0.0007328,0.0007328
18,945.577,0.84395,1.16813,0.94133,1,0.98181,0.995,0.76142,0.87222,1.21415,0.87233,0.0006536,0.0006536,0.0006536
19,1000.85,0.83592,1.15829,0.92964,1,0.98146,0.995,0.75232,0.87511,1.19057,0.87075,0.0005744,0.0005744,0.0005744
20,1061.8,0.7933,1.07079,0.90195,0.99237,1,0.995,0.74365,0.88239,0.97751,0.8825,0.0004952,0.0004952,0.0004952
21,1113.17,0.82042,1.06614,0.90216,0.99253,1,0.995,0.7427,0.86406,0.96371,0.87254,0.000416,0.000416,0.000416
22,1165.72,0.78134,1.04391,0.89399,0.99715,1,0.995,0.73215,0.87567,0.92012,0.87546,0.0003368,0.0003368,0.0003368
23,1218.71,0.79403,1.01723,0.88714,0.99752,1,0.995,0.73768,0.86463,0.89324,0.86897,0.0002576,0.0002576,0.0002576
24,1272.7,0.756,0.97763,0.88217,0.99763,1,0.995,0.74751,0.83133,0.86357,0.86548,0.0001784,0.0001784,0.0001784
25,1329.02,0.78423,0.9838,0.90055,0.9975,1,0.995,0.75561,0.82614,0.85255,0.86238,9.92e-05,9.92e-05,9.92e-05
